"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","UKS.RusakPerc","Perpus.RusakPerc","Toilet.RusakPerc"
"1","Kec. Tanjungsari ","Sumedang","Jawa Barat",0,0,0,0,0
"2","Kec. Darmaraja ","Sumedang","Jawa Barat",0,0,0,0,0
"3","Kec. Pamulihan ","Sumedang","Jawa Barat",0,0,0,0,0
"4","Kec. Talaga ","Majalengka","Jawa Barat",0,0,0,0,0
"5","Kec. Palasah ","Majalengka","Jawa Barat",0,0,0,0,0
"6","Kec. Jatiwangi ","Majalengka","Jawa Barat",0,0,0,0,0
"7","Kec. Dawuan ","Majalengka","Jawa Barat",0,0,0,0,0
"8","Kec. Kadipaten ","Majalengka","Jawa Barat",0,0,0,0,0
"9","Kec. Ligung ","Majalengka","Jawa Barat",0,0,0,0,0
"10","Kec. Sumberjaya ","Majalengka","Jawa Barat",0,0,0,0,0
"11","Kec. Sindang ","Majalengka","Jawa Barat",0,0,0,0,0
"12","Kec. Kasokandel ","Majalengka","Jawa Barat",0,0,0,0,0
"13","Kec. Waled ","Cirebon","Jambi",0,0,0,0,0
"14","Kec. Ciledug ","Cirebon","Jambi",0,0,0,0,0
"15","Kec. Karang Sembung ","Cirebon","Jambi",0,0,0,0,0
"16","Kec. Astana Japura ","Cirebon","Jambi",0,0,0,0,0
"17","Kec. Kapetakan ","Cirebon","Jambi",0,0,0,0,0
"18","Kec. Klangenan ","Cirebon","Jambi",0,0,0,0,0
"19","Kec. Panguragan ","Cirebon","Jambi",0,0,0,0,0
"20","Kec. Pangenan ","Cirebon","Jambi",0,0,0,0,0
"21","Kec. Karangwareng ","Cirebon","Jambi",0,0,0,0,0
"22","Kec. Suranenggala ","Cirebon","Jambi",0,0,0,0,0
"23","Kec. Baros ","Sukabumi","Jawa Barat",0,0,0,0,0
"24","Kec. Warudoyong ","Sukabumi","Jawa Barat",0,0,0,0,0
"25","Kec. Cipayung ","Depok","Jawa Barat",0,0,0,0,0
"26","Kec. Cinere ","Depok","Jawa Barat",0,0,0,0,0
"27","Kec. Singajaya ","Garut","Jawa Barat",0,0,0,0,0
"28","Kec. Cilawu ","Garut","Jawa Barat",0,0,0,0,0
"29","Kec. Cisurupan ","Garut","Jawa Barat",0,0,0,0,0
"30","Kec. Leles ","Garut","Jawa Barat",0,0,0,0,0
"31","Kec. Cibiuk ","Garut","Jawa Barat",0,0,0,0,0
"32","Kec. Selaawi ","Garut","Jawa Barat",0,0,0,0,0
"33","Kec. Caringin ","Garut","Jawa Barat",0,0,0,0,0
"34","Kec. Pasirwangi ","Garut","Jawa Barat",0,0,0,0,0
"35","Kec. Karangtengah ","Garut","Jawa Barat",0,0,0,0,0
"36","Kec. Cigedug ","Garut","Jawa Barat",0,0,0,0,0
"37","Kec. Sucinaraja ","Garut","Jawa Barat",0,0,0,0,0
"38","Kec. Lelea ","Indramayu","Jambi",0,0,0,0,0
"39","Kec. Bangodua ","Indramayu","Jambi",0,0,0,0,0
"40","Kec. Widasari ","Indramayu","Jambi",0,0,0,0,0
"41","Kec. Juntinyuat ","Indramayu","Jambi",0,0,0,0,0
"42","Kec. Balongan ","Indramayu","Jambi",0,0,0,0,0
"43","Kec. Bongas ","Indramayu","Jambi",0,0,0,0,0
"44","Kec. Arahan ","Indramayu","Jambi",0,0,0,0,0
"45","Kec. Cantigi ","Indramayu","Jambi",0,0,0,0,0
"46","Kec. Gantar ","Indramayu","Jambi",0,0,0,0,0
"47","Kec. Sukagumiwang ","Indramayu","Jambi",0,0,0,0,0
"48","Kec. Patrol ","Indramayu","Jambi",0,0,0,0,0
"49","Kec. Sagalaherang ","Subang","Jawa Barat",0,0,0,0,0
"50","Kec. Cibogo ","Subang","Jawa Barat",0,0,0,0,0
"51","Kec. Binong ","Subang","Jawa Barat",0,0,0,0,0
"52","Kec. Blanakan ","Subang","Jawa Barat",0,0,0,0,0
"53","Kec. Serangpanjang ","Subang","Jawa Barat",0,0,0,0,0
"54","Kec. Kasomalang ","Subang","Jawa Barat",0,0,0,0,0
"55","Kec. Cibeureum ","Tasikmalaya","Jawa Barat",0,0,0,0,0
"56","Kec. Cipedes ","Tasikmalaya","Jawa Barat",0,0,0,0,0
"57","Kec. Caringin ","Bogor","Jawa Barat",0,0,0,0,0
"58","Kec. Cisarua ","Bogor","Jawa Barat",0,0,0,0,0
"59","Kec. Cigudeg ","Bogor","Jawa Barat",0,0,0,0,0
"60","Kec. Jasinga ","Bogor","Jawa Barat",0,0,0,0,0
"61","Kec. Sukajaya ","Bogor","Jawa Barat",0,0,0,0,0
"62","Kec. Cigombong ","Bogor","Jawa Barat",0,0,0,0,0
"63","Kec. Leuwisadeng ","Bogor","Jawa Barat",0,0,0,0,0
"64","Kec. Cimaung ","Bandung","Jawa Barat",0,0,0,0,0
"65","Kec. Pacet ","Bandung","Jawa Barat",0,0,0,0,0
"66","Kec. Ciparay ","Bandung","Jawa Barat",0,0,0,0,0
"67","Kec. Arjasari ","Bandung","Jawa Barat",0,0,0,0,0
"68","Kec. Pameungpeuk ","Bandung","Jawa Barat",0,0,0,0,0
"69","Kec. Soreang ","Bandung","Jawa Barat",0,0,0,0,0
"70","Kec. Cilengkrang ","Bandung","Jawa Barat",0,0,0,0,0
"71","Kec. Cimenyan ","Bandung","Jawa Barat",0,0,0,0,0
"72","Kec. Rancabali ","Bandung","Jawa Barat",0,0,0,0,0
"73","Kec. Kadugede ","Kuningan","Jawa Barat",0,0,0,0,0
"74","Kec. Ciniru ","Kuningan","Jawa Barat",0,0,0,0,0
"75","Kec. Cidahu ","Kuningan","Jawa Barat",0,0,0,0,0
"76","Kec. Ciawigebang ","Kuningan","Jawa Barat",0,0,0,0,0
"77","Kec. Cilimus ","Kuningan","Jawa Barat",0,0,0,0,0
"78","Kec. Mandirancan ","Kuningan","Jawa Barat",0,0,0,0,0
"79","Kec. Pasawahan ","Kuningan","Jawa Barat",0,0,0,0,0
"80","Kec. Pancalang ","Kuningan","Jawa Barat",0,0,0,0,0
"81","Kec. Gununghalu ","Bandung Barat","Jawa Barat",0,0,0,0,0
"82","Kec. Cihampelas ","Bandung Barat","Jawa Barat",0,0,0,0,0
"83","Kec. Padalarang ","Bandung Barat","Jawa Barat",0,0,0,0,0
