"","Kecamatan","Kab.Kota","Provinsi","Kelas.Baik","Kelas.Rusak","Lab.Baik","Lab.Rusak","Perpus.Baik","Perpus.Rusak","UKS.Baik","UKS.Rusak","Toilet.Baik","Toilet.Rusak"
"1","Kec. Kepulauan Seribu Utara ","Kepulauan Seribu","DKI Jakarta",0,19,0,3,0,1,0,2,0,8
"2","Kec. Tanah Abang ","Jakarta Pusat","DKI Jakarta",152,13,46,1,15,2,32,2,128,8
"3","Kec. Menteng ","Jakarta Pusat","DKI Jakarta",70,0,20,0,7,0,9,1,36,4
"4","Kec. Senen ","Jakarta Pusat","DKI Jakarta",74,17,22,3,6,2,11,3,44,12
"5","Kec. Johar Baru ","Jakarta Pusat","DKI Jakarta",24,0,8,0,2,0,3,1,12,4
"6","Kec. Cempaka Putih ","Jakarta Pusat","DKI Jakarta",50,24,9,3,5,1,15,3,60,12
"7","Kec. Kemayoran ","Jakarta Pusat","DKI Jakarta",161,0,28,0,11,0,17,1,68,4
"8","Kec. Sawah Besar ","Jakarta Pusat","DKI Jakarta",134,15,26,3,14,1,17,5,68,20
"9","Kec. Gambir ","Jakarta Pusat","DKI Jakarta",90,0,25,0,7,0,12,2,48,8
"10","Kec. Penjaringan ","Jakarta Utara","DI Yogyakarta",241,8,73,3,27,1,47,3,188,12
"11","Kec. Pademangan ","Jakarta Utara","DI Yogyakarta",59,0,11,0,4,0,3,1,12,4
"12","Kec. Tanjung Priok ","Jakarta Utara","DI Yogyakarta",198,14,38,4,17,2,31,7,124,28
"13","Kec. Koja ","Jakarta Utara","DI Yogyakarta",102,0,24,0,8,0,15,3,60,12
"14","Kec. Kelapa Gading ","Jakarta Utara","DI Yogyakarta",213,11,58,7,20,3,38,4,152,16
"15","Kec. Cilincing ","Jakarta Utara","DI Yogyakarta",164,1,29,0,11,0,15,3,60,12
"16","Kec. Kembangan ","Jakarta Barat","DKI Jakarta",211,2,44,6,18,1,26,5,104,20
"17","Kec. Kebon Jeruk ","Jakarta Barat","DKI Jakarta",167,18,40,3,14,1,23,3,92,12
"18","Kec. Palmerah ","Jakarta Barat","DKI Jakarta",62,32,12,3,5,1,8,2,32,8
"19","Kec. Grogol Petamburan ","Jakarta Barat","DKI Jakarta",192,19,49,3,19,1,34,2,136,8
"20","Kec. Tambora ","Jakarta Barat","DKI Jakarta",71,2,20,0,8,0,11,1,44,4
"21","Kec. Taman Sari ","Jakarta Barat","DKI Jakarta",79,0,20,0,8,0,22,2,88,8
"22","Kec. Cengkareng ","Jakarta Barat","DKI Jakarta",263,1,65,0,23,0,34,4,136,16
"23","Kec. Kali Deres ","Jakarta Barat","DKI Jakarta",247,27,58,7,23,2,41,5,164,20
"24","Kec. Jagakarsa ","Jakarta Selatan","DI Yogyakarta",141,25,28,4,10,2,20,2,80,8
"25","Kec. Pasar Minggu ","Jakarta Selatan","DI Yogyakarta",134,19,24,3,10,1,16,2,64,8
"26","Kec. Cilandak ","Jakarta Selatan","DI Yogyakarta",221,32,39,3,14,1,22,4,88,16
"27","Kec. Pesanggrahan ","Jakarta Selatan","DI Yogyakarta",139,0,18,4,7,0,14,0,56,0
"28","Kec. Kebayoran Lama ","Jakarta Selatan","DI Yogyakarta",255,0,37,0,15,0,29,3,116,12
"29","Kec. Kebayoran Baru ","Jakarta Selatan","DI Yogyakarta",295,0,51,0,20,0,32,5,128,20
"30","Kec. Mampang Prapatan ","Jakarta Selatan","DI Yogyakarta",65,0,14,0,7,0,9,1,36,4
"31","Kec. Pancoran ","Jakarta Selatan","DI Yogyakarta",69,0,12,0,4,0,7,1,28,4
"32","Kec. Tebet ","Jakarta Selatan","DI Yogyakarta",178,0,39,0,11,0,21,1,84,4
"33","Kec. Setia Budi ","Jakarta Selatan","DI Yogyakarta",46,30,15,0,4,0,5,3,20,12
"34","Kec. Pasar Rebo ","Jakarta Timur","DKI Jakarta",191,19,24,4,10,1,24,4,96,16
"35","Kec. Ciracas ","Jakarta Timur","DKI Jakarta",229,0,36,0,16,0,20,2,80,8
"36","Kec. Cipayung ","Jakarta Timur","DKI Jakarta",151,6,29,1,11,1,15,1,60,4
"37","Kec. Makasar ","Jakarta Timur","DKI Jakarta",133,59,16,6,8,2,15,5,60,20
"38","Kec. Kramat Jati ","Jakarta Timur","DKI Jakarta",168,6,33,2,10,1,18,4,72,16
"39","Kec. Jatinegara ","Jakarta Timur","DKI Jakarta",145,0,25,0,10,0,17,3,68,12
"40","Kec. Duren Sawit ","Jakarta Timur","DKI Jakarta",292,12,53,8,19,3,30,8,120,32
"41","Kec. Cakung ","Jakarta Timur","DKI Jakarta",192,1,37,1,17,0,25,3,100,12
"42","Kec. Pulo Gadung ","Jakarta Timur","DKI Jakarta",151,18,34,0,15,0,30,2,120,8
"43","Kec. Matraman ","Jakarta Timur","DKI Jakarta",124,0,20,0,7,0,12,2,48,8
"44","Kec. Jatinangor ","Sumedang","Jawa Barat",90,3,8,1,6,1,7,0,28,0
"45","Kec. Cimanggung ","Sumedang","Jawa Barat",60,3,6,0,3,0,1,3,4,12
"46","Kec. Tanjungsari ","Sumedang","Jawa Barat",81,0,7,0,6,0,6,0,24,0
"47","Kec. Rancakalong ","Sumedang","Jawa Barat",13,0,3,0,2,0,1,1,4,4
"48","Kec. Sumedang Selatan ","Sumedang","Jawa Barat",43,0,4,0,1,0,1,1,4,4
"49","Kec. Sumedang Utara ","Sumedang","Jawa Barat",64,4,6,0,2,0,2,2,8,8
"50","Kec. Situraja ","Sumedang","Jawa Barat",28,13,8,0,3,0,6,0,24,0
"51","Kec. Darmaraja ","Sumedang","Jawa Barat",28,0,0,0,0,0,4,0,16,0
"52","Kec. Tomo ","Sumedang","Jawa Barat",21,0,2,0,1,0,1,1,4,4
"53","Kec. Conggeang ","Sumedang","Jawa Barat",18,2,0,3,1,0,2,0,8,0
"54","Kec. Cimalaka ","Sumedang","Jawa Barat",36,37,3,3,1,1,1,3,4,12
"55","Kec. Tanjungkerta ","Sumedang","Jawa Barat",20,0,3,0,0,1,1,1,4,4
"56","Kec. Pamulihan ","Sumedang","Jawa Barat",0,0,0,0,0,0,0,0,0,0
"57","Kec. Jatinunggal ","Sumedang","Jawa Barat",27,0,5,3,1,1,2,0,8,0
"58","Kec. Bantarujeg ","Majalengka","Jawa Barat",39,2,2,0,1,0,6,0,24,0
"59","Kec. Cikijing ","Majalengka","Jawa Barat",16,6,3,1,1,1,1,3,4,12
"60","Kec. Talaga ","Majalengka","Jawa Barat",36,0,3,0,1,0,2,0,8,0
"61","Kec. Maja ","Majalengka","Jawa Barat",20,11,1,2,1,0,0,0,0,0
"62","Kec. Majalengka ","Majalengka","Jawa Barat",75,21,7,3,2,1,3,3,12,12
"63","Kec. Sukahaji ","Majalengka","Jawa Barat",24,0,2,1,2,0,2,0,8,0
"64","Kec. Rajagaluh ","Majalengka","Jawa Barat",33,9,5,1,3,1,5,1,20,4
"65","Kec. Sindangwangi ","Majalengka","Jawa Barat",23,6,2,2,1,0,2,0,8,0
"66","Kec. Leuwimunding ","Majalengka","Jawa Barat",13,11,0,2,0,1,2,0,8,0
"67","Kec. Palasah ","Majalengka","Jawa Barat",7,0,3,0,1,0,2,0,8,0
"68","Kec. Jatiwangi ","Majalengka","Jawa Barat",50,0,6,0,3,0,6,0,24,0
"69","Kec. Dawuan ","Majalengka","Jawa Barat",0,0,0,0,0,0,0,0,0,0
"70","Kec. Kadipaten ","Majalengka","Jawa Barat",24,0,1,0,1,0,2,0,8,0
"71","Kec. Jatitujuh ","Majalengka","Jawa Barat",24,3,2,0,1,0,0,0,0,0
"72","Kec. Ligung ","Majalengka","Jawa Barat",25,0,4,0,2,0,2,0,8,0
"73","Kec. Sumberjaya ","Majalengka","Jawa Barat",20,0,2,0,1,0,2,0,8,0
"74","Kec. Sindang ","Majalengka","Jawa Barat",10,0,1,0,1,0,2,0,8,0
"75","Kec. Kasokandel ","Majalengka","Jawa Barat",71,0,8,0,2,0,4,0,16,0
"76","Kec. Waled ","Cirebon","Jambi",31,0,3,0,1,0,2,0,8,0
"77","Kec. Ciledug ","Cirebon","Jambi",31,0,7,0,2,0,4,0,16,0
"78","Kec. Losari ","Cirebon","Jambi",36,0,5,0,2,0,7,1,28,4
