Kecamatan,Kelas Baik,Kelas Rusak Ringan,Kelas Rusak Sedang,Kelas Rusak Berat,Kelas Rusak Total,Kelas Total
Kec. Kepulauan Seribu Utara Kab. Kepulauan Seribu,0,19,0,0,0,19
Kec. Tanah Abang Kota Jakarta Pusat,152,13,0,0,0,165
Kec. Menteng Kota Jakarta Pusat,70,0,0,0,0,70
Kec. Senen Kota Jakarta Pusat,74,17,0,0,0,91
Kec. Johar Baru Kota Jakarta Pusat,24,0,0,0,0,24
Kec. Cempaka Putih Kota Jakarta Pusat,50,24,0,0,0,74
Kec. Kemayoran Kota Jakarta Pusat,161,0,0,0,0,161
Kec. Sawah Besar Kota Jakarta Pusat,134,15,0,0,0,149
Kec. Gambir Kota Jakarta Pusat,90,0,0,0,0,90
Kec. Penjaringan Kota Jakarta Utara,241,8,0,0,0,249
Kec. Pademangan Kota Jakarta Utara,59,0,0,0,0,59
Kec. Tanjung Priok Kota Jakarta Utara,198,14,0,0,0,212
Kec. Koja Kota Jakarta Utara,102,0,0,0,0,102
Kec. Kelapa Gading Kota Jakarta Utara,213,11,0,0,0,224
Kec. Cilincing Kota Jakarta Utara,164,1,0,0,0,165
Kec. Kembangan Kota Jakarta Barat,211,2,0,0,0,213
Kec. Kebon Jeruk Kota Jakarta Barat,167,18,0,0,0,185
Kec. Palmerah Kota Jakarta Barat,62,32,0,0,0,94
Kec. Grogol Petamburan Kota Jakarta Barat,192,19,0,0,0,211
Kec. Tambora Kota Jakarta Barat,71,2,0,0,0,73
Kec. Taman Sari Kota Jakarta Barat,79,0,0,0,0,79
Kec. Cengkareng Kota Jakarta Barat,263,1,0,0,0,264
Kec. Kali Deres Kota Jakarta Barat,247,27,0,0,0,274
Kec. Jagakarsa Kota Jakarta Selatan,141,25,0,0,0,166
Kec. Pasar Minggu Kota Jakarta Selatan,134,19,0,0,0,153
Kec. Cilandak Kota Jakarta Selatan,221,32,0,0,0,253
Kec. Pesanggrahan Kota Jakarta Selatan,139,0,0,0,0,139
Kec. Kebayoran Lama Kota Jakarta Selatan,255,0,0,0,0,255
Kec. Kebayoran Baru Kota Jakarta Selatan,295,0,0,0,0,295
Kec. Mampang Prapatan Kota Jakarta Selatan,65,0,0,0,0,65
Kec. Pancoran Kota Jakarta Selatan,69,0,0,0,0,69
Kec. Tebet Kota Jakarta Selatan,178,0,0,0,0,178
Kec. Setia Budi Kota Jakarta Selatan,46,30,0,0,0,76
Kec. Pasar Rebo Kota Jakarta Timur,191,19,0,0,0,210
Kec. Ciracas Kota Jakarta Timur,229,0,0,0,0,229
Kec. Cipayung Kota Jakarta Timur,151,6,0,0,0,157
Kec. Makasar Kota Jakarta Timur,133,59,0,0,0,192
Kec. Kramat Jati Kota Jakarta Timur,168,6,0,0,0,174
Kec. Jatinegara Kota Jakarta Timur,145,0,0,0,0,145
Kec. Duren Sawit Kota Jakarta Timur,292,12,0,0,0,304
Kec. Cakung Kota Jakarta Timur,192,1,0,0,0,193
Kec. Pulo Gadung Kota Jakarta Timur,151,18,0,0,0,169
Kec. Matraman Kota Jakarta Timur,124,0,0,0,0,124
Kec. Jatinangor Kab. Sumedang,90,3,0,0,0,93
Kec. Cimanggung Kab. Sumedang,60,3,0,0,0,63
Kec. Tanjungsari Kab. Sumedang,81,0,0,0,0,81
Kec. Rancakalong Kab. Sumedang,13,0,0,0,0,13
Kec. Sumedang Selatan Kab. Sumedang,43,0,0,0,0,43
Kec. Sumedang Utara Kab. Sumedang,64,4,0,0,0,68
Kec. Situraja Kab. Sumedang,28,13,0,0,0,41
Kec. Darmaraja Kab. Sumedang,28,0,0,0,0,28
Kec. Tomo Kab. Sumedang,21,0,0,0,0,21
Kec. Conggeang Kab. Sumedang,18,2,0,0,0,20
Kec. Cimalaka Kab. Sumedang,36,37,0,0,0,73
Kec. Tanjungkerta Kab. Sumedang,20,0,0,0,0,20
Kec. Pamulihan Kab. Sumedang,0,0,0,0,0,0
Kec. Jatinunggal Kab. Sumedang,27,0,0,0,0,27
Kec. Bantarujeg Kab. Majalengka,39,2,0,0,0,41
Kec. Cikijing Kab. Majalengka,16,6,0,0,0,22
Kec. Talaga Kab. Majalengka,36,0,0,0,0,36
Kec. Maja Kab. Majalengka,20,11,0,0,0,31
Kec. Majalengka Kab. Majalengka,75,21,0,0,0,96
Kec. Sukahaji Kab. Majalengka,24,0,0,0,0,24
Kec. Rajagaluh Kab. Majalengka,33,9,0,0,0,42
Kec. Sindangwangi Kab. Majalengka,23,6,0,0,0,29
Kec. Leuwimunding Kab. Majalengka,13,11,0,0,0,24
Kec. Palasah Kab. Majalengka,7,0,0,0,0,7
Kec. Jatiwangi Kab. Majalengka,50,0,0,0,0,50
Kec. Dawuan Kab. Majalengka,0,0,0,0,0,0
