"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","Perpus.RusakPerc","Toilet.Guru.L.RusakPerc","Toilet.Guru.P.RusakPerc","Toilet.Murid.L.RusakPerc","Toilet.Murid.P.RusakPerc"
"1","Kec. Kepulauan Seribu Utara ","Kepulauan Seribu","DKI Jakarta",1,1,1,1,1,1,1
"2","Kec. Tanah Abang ","Jakarta Pusat","DKI Jakarta",0.08,0.02,0.12,0.06,0.06,0.06,0.06
"3","Kec. Menteng ","Jakarta Pusat","DKI Jakarta",0,0,0,0.1,0.1,0.1,0.1
"4","Kec. Senen ","Jakarta Pusat","DKI Jakarta",0.19,0.12,0.25,0.21,0.21,0.21,0.21
"5","Kec. Johar Baru ","Jakarta Pusat","DKI Jakarta",0,0,0,0.25,0.25,0.25,0.25
"6","Kec. Cempaka Putih ","Jakarta Pusat","DKI Jakarta",0.32,0.25,0.17,0.17,0.17,0.17,0.17
"7","Kec. Kemayoran ","Jakarta Pusat","DKI Jakarta",0,0,0,0.06,0.06,0.06,0.06
"8","Kec. Sawah Besar ","Jakarta Pusat","DKI Jakarta",0.1,0.1,0.07,0.23,0.23,0.23,0.23
"9","Kec. Gambir ","Jakarta Pusat","DKI Jakarta",0,0,0,0.14,0.14,0.14,0.14
"10","Kec. Penjaringan ","Jakarta Utara","DI Yogyakarta",0.03,0.04,0.04,0.06,0.06,0.06,0.06
"11","Kec. Pademangan ","Jakarta Utara","DI Yogyakarta",0,0,0,0.25,0.25,0.25,0.25
"12","Kec. Tanjung Priok ","Jakarta Utara","DI Yogyakarta",0.07,0.1,0.11,0.18,0.18,0.18,0.18
"13","Kec. Koja ","Jakarta Utara","DI Yogyakarta",0,0,0,0.17,0.17,0.17,0.17
"14","Kec. Kelapa Gading ","Jakarta Utara","DI Yogyakarta",0.05,0.11,0.13,0.1,0.1,0.1,0.1
"15","Kec. Cilincing ","Jakarta Utara","DI Yogyakarta",0.01,0,0,0.17,0.17,0.17,0.17
"16","Kec. Kembangan ","Jakarta Barat","DKI Jakarta",0.01,0.12,0.05,0.16,0.16,0.16,0.16
"17","Kec. Kebon Jeruk ","Jakarta Barat","DKI Jakarta",0.1,0.07,0.07,0.12,0.12,0.12,0.12
"18","Kec. Palmerah ","Jakarta Barat","DKI Jakarta",0.34,0.2,0.17,0.2,0.2,0.2,0.2
"19","Kec. Grogol Petamburan ","Jakarta Barat","DKI Jakarta",0.09,0.06,0.05,0.06,0.06,0.06,0.06
"20","Kec. Tambora ","Jakarta Barat","DKI Jakarta",0.03,0,0,0.08,0.08,0.08,0.08
"21","Kec. Taman Sari ","Jakarta Barat","DKI Jakarta",0,0,0,0.08,0.08,0.08,0.08
"22","Kec. Cengkareng ","Jakarta Barat","DKI Jakarta",0,0,0,0.11,0.11,0.11,0.11
"23","Kec. Kali Deres ","Jakarta Barat","DKI Jakarta",0.1,0.11,0.08,0.11,0.11,0.11,0.11
"24","Kec. Jagakarsa ","Jakarta Selatan","DI Yogyakarta",0.15,0.12,0.17,0.09,0.09,0.09,0.09
"25","Kec. Pasar Minggu ","Jakarta Selatan","DI Yogyakarta",0.12,0.11,0.09,0.11,0.11,0.11,0.11
"26","Kec. Cilandak ","Jakarta Selatan","DI Yogyakarta",0.13,0.07,0.07,0.15,0.15,0.15,0.15
"27","Kec. Pesanggrahan ","Jakarta Selatan","DI Yogyakarta",0,0.18,0,0,0,0,0
"28","Kec. Kebayoran Lama ","Jakarta Selatan","DI Yogyakarta",0,0,0,0.09,0.09,0.09,0.09
"29","Kec. Kebayoran Baru ","Jakarta Selatan","DI Yogyakarta",0,0,0,0.14,0.14,0.14,0.14
"30","Kec. Mampang Prapatan ","Jakarta Selatan","DI Yogyakarta",0,0,0,0.1,0.1,0.1,0.1
"31","Kec. Pancoran ","Jakarta Selatan","DI Yogyakarta",0,0,0,0.12,0.12,0.12,0.12
"32","Kec. Tebet ","Jakarta Selatan","DI Yogyakarta",0,0,0,0.05,0.05,0.05,0.05
"33","Kec. Setia Budi ","Jakarta Selatan","DI Yogyakarta",0.39,0,0,0.38,0.38,0.38,0.38
"34","Kec. Pasar Rebo ","Jakarta Timur","DKI Jakarta",0.09,0.14,0.09,0.14,0.14,0.14,0.14
"35","Kec. Ciracas ","Jakarta Timur","DKI Jakarta",0,0,0,0.09,0.09,0.09,0.09
"36","Kec. Cipayung ","Jakarta Timur","DKI Jakarta",0.04,0.03,0.08,0.06,0.06,0.06,0.06
"37","Kec. Makasar ","Jakarta Timur","DKI Jakarta",0.31,0.27,0.2,0.25,0.25,0.25,0.25
"38","Kec. Kramat Jati ","Jakarta Timur","DKI Jakarta",0.03,0.06,0.09,0.18,0.18,0.18,0.18
"39","Kec. Jatinegara ","Jakarta Timur","DKI Jakarta",0,0,0,0.15,0.15,0.15,0.15
"40","Kec. Duren Sawit ","Jakarta Timur","DKI Jakarta",0.04,0.13,0.14,0.21,0.21,0.21,0.21
"41","Kec. Cakung ","Jakarta Timur","DKI Jakarta",0.01,0.03,0,0.11,0.11,0.11,0.11
"42","Kec. Pulo Gadung ","Jakarta Timur","DKI Jakarta",0.11,0,0,0.06,0.06,0.06,0.06
"43","Kec. Matraman ","Jakarta Timur","DKI Jakarta",0,0,0,0.14,0.14,0.14,0.14
"44","Kec. Jatinangor ","Sumedang","Jawa Barat",0.03,0.11,0.14,0,0,0,0
"45","Kec. Cimanggung ","Sumedang","Jawa Barat",0.05,0,0,0.75,0.75,0.75,0.75
"46","Kec. Tanjungsari ","Sumedang","Jawa Barat",0,0,0,0,0,0,0
"47","Kec. Rancakalong ","Sumedang","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"48","Kec. Sumedang Selatan ","Sumedang","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"49","Kec. Sumedang Utara ","Sumedang","Jawa Barat",0.06,0,0,0.5,0.5,0.5,0.5
"50","Kec. Situraja ","Sumedang","Jawa Barat",0.32,0,0,0,0,0,0
"51","Kec. Darmaraja ","Sumedang","Jawa Barat",0,NA,NA,0,0,0,0
"52","Kec. Tomo ","Sumedang","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"53","Kec. Conggeang ","Sumedang","Jawa Barat",0.1,1,0,0,0,0,0
"54","Kec. Cimalaka ","Sumedang","Jawa Barat",0.51,0.5,0.5,0.75,0.75,0.75,0.75
"55","Kec. Tanjungkerta ","Sumedang","Jawa Barat",0,0,1,0.5,0.5,0.5,0.5
