"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","UKS.RusakPerc","Perpus.RusakPerc","Toilet.RusakPerc"
"1","Kec. Tanah Abang ","Jakarta Pusat","DKI Jakarta",0.08,0.02,0.04,0.12,0.06
"2","Kec. Menteng ","Jakarta Pusat","DKI Jakarta",0,0,0.05,0,0.1
"3","Kec. Senen ","Jakarta Pusat","DKI Jakarta",0.19,0.12,0.12,0.25,0.21
"4","Kec. Johar Baru ","Jakarta Pusat","DKI Jakarta",0,0,0.11,0,0.25
"5","Kec. Cempaka Putih ","Jakarta Pusat","DKI Jakarta",0.32,0.25,0.25,0.17,0.17
"6","Kec. Kemayoran ","Jakarta Pusat","DKI Jakarta",0,0,0.03,0,0.06
"7","Kec. Sawah Besar ","Jakarta Pusat","DKI Jakarta",0.1,0.1,0.16,0.07,0.23
"8","Kec. Gambir ","Jakarta Pusat","DKI Jakarta",0,0,0.07,0,0.14
"9","Kec. Penjaringan ","Jakarta Utara","DI Yogyakarta",0.03,0.04,0.04,0.04,0.06
"10","Kec. Pademangan ","Jakarta Utara","DI Yogyakarta",0,0,0.08,0,0.25
"11","Kec. Tanjung Priok ","Jakarta Utara","DI Yogyakarta",0.07,0.1,0.16,0.11,0.18
"12","Kec. Koja ","Jakarta Utara","DI Yogyakarta",0,0,0.11,0,0.17
"13","Kec. Kelapa Gading ","Jakarta Utara","DI Yogyakarta",0.05,0.11,0.06,0.13,0.1
"14","Kec. Cilincing ","Jakarta Utara","DI Yogyakarta",0.01,0,0.09,0,0.17
"15","Kec. Kembangan ","Jakarta Barat","DKI Jakarta",0.01,0.12,0.1,0.05,0.16
"16","Kec. Kebon Jeruk ","Jakarta Barat","DKI Jakarta",0.1,0.07,0.07,0.07,0.12
"17","Kec. Palmerah ","Jakarta Barat","DKI Jakarta",0.34,0.2,0.14,0.17,0.2
"18","Kec. Grogol Petamburan ","Jakarta Barat","DKI Jakarta",0.09,0.06,0.04,0.05,0.06
"19","Kec. Tambora ","Jakarta Barat","DKI Jakarta",0.03,0,0.05,0,0.08
"20","Kec. Taman Sari ","Jakarta Barat","DKI Jakarta",0,0,0.09,0,0.08
"21","Kec. Cengkareng ","Jakarta Barat","DKI Jakarta",0,0,0.06,0,0.11
"22","Kec. Kali Deres ","Jakarta Barat","DKI Jakarta",0.1,0.11,0.08,0.08,0.11
"23","Kec. Jagakarsa ","Jakarta Selatan","DI Yogyakarta",0.15,0.12,0.07,0.17,0.09
"24","Kec. Pasar Minggu ","Jakarta Selatan","DI Yogyakarta",0.12,0.11,0.08,0.09,0.11
"25","Kec. Cilandak ","Jakarta Selatan","DI Yogyakarta",0.13,0.07,0.09,0.07,0.15
"26","Kec. Pesanggrahan ","Jakarta Selatan","DI Yogyakarta",0,0.18,0,0,0
"27","Kec. Kebayoran Lama ","Jakarta Selatan","DI Yogyakarta",0,0,0.07,0,0.09
"28","Kec. Kebayoran Baru ","Jakarta Selatan","DI Yogyakarta",0,0,0.09,0,0.14
"29","Kec. Mampang Prapatan ","Jakarta Selatan","DI Yogyakarta",0,0,0.07,0,0.1
"30","Kec. Pancoran ","Jakarta Selatan","DI Yogyakarta",0,0,0.08,0,0.12
"31","Kec. Tebet ","Jakarta Selatan","DI Yogyakarta",0,0,0.03,0,0.05
"32","Kec. Setia Budi ","Jakarta Selatan","DI Yogyakarta",0.39,0,0.17,0,0.38
"33","Kec. Pasar Rebo ","Jakarta Timur","DKI Jakarta",0.09,0.14,0.14,0.09,0.14
"34","Kec. Ciracas ","Jakarta Timur","DKI Jakarta",0,0,0.05,0,0.09
"35","Kec. Cipayung ","Jakarta Timur","DKI Jakarta",0.04,0.03,0.03,0.08,0.06
"36","Kec. Makasar ","Jakarta Timur","DKI Jakarta",0.31,0.27,0.24,0.2,0.25
"37","Kec. Kramat Jati ","Jakarta Timur","DKI Jakarta",0.03,0.06,0.11,0.09,0.18
"38","Kec. Jatinegara ","Jakarta Timur","DKI Jakarta",0,0,0.11,0,0.15
"39","Kec. Duren Sawit ","Jakarta Timur","DKI Jakarta",0.04,0.13,0.13,0.14,0.21
"40","Kec. Cakung ","Jakarta Timur","DKI Jakarta",0.01,0.03,0.07,0,0.11
"41","Kec. Pulo Gadung ","Jakarta Timur","DKI Jakarta",0.11,0,0.06,0,0.06
"42","Kec. Matraman ","Jakarta Timur","DKI Jakarta",0,0,0.09,0,0.14
"43","Kec. Jatinangor ","Sumedang","Jawa Barat",0.03,0.11,0,0.14,0
"44","Kec. Cimanggung ","Sumedang","Jawa Barat",0.05,0,0.33,0,0.75
"45","Kec. Rancakalong ","Sumedang","Jawa Barat",0,0,0.25,0,0.5
"46","Kec. Sumedang Selatan ","Sumedang","Jawa Barat",0,0,0.2,0,0.5
"47","Kec. Sumedang Utara ","Sumedang","Jawa Barat",0.06,0,0.25,0,0.5
"48","Kec. Situraja ","Sumedang","Jawa Barat",0.32,0,0,0,0
"49","Kec. Tomo ","Sumedang","Jawa Barat",0,0,0.33,0,0.5
"50","Kec. Conggeang ","Sumedang","Jawa Barat",0.1,1,0,0,0
"51","Kec. Cimalaka ","Sumedang","Jawa Barat",0.51,0.5,0.5,0.5,0.75
"52","Kec. Tanjungkerta ","Sumedang","Jawa Barat",0,0,0.25,1,0.5
"53","Kec. Jatinunggal ","Sumedang","Jawa Barat",0,0.38,0,0.5,0
"54","Kec. Bantarujeg ","Majalengka","Jawa Barat",0.05,0,0,0,0
"55","Kec. Cikijing ","Majalengka","Jawa Barat",0.27,0.25,0.5,0.5,0.75
"56","Kec. Maja ","Majalengka","Jawa Barat",0.35,0.67,0,0,0
"57","Kec. Majalengka ","Majalengka","Jawa Barat",0.22,0.3,0.3,0.33,0.5
"58","Kec. Sukahaji ","Majalengka","Jawa Barat",0,0.33,0,0,0
"59","Kec. Rajagaluh ","Majalengka","Jawa Barat",0.21,0.17,0.17,0.25,0.17
"60","Kec. Sindangwangi ","Majalengka","Jawa Barat",0.21,0.5,0,0,0
"61","Kec. Leuwimunding ","Majalengka","Jawa Barat",0.46,1,0,1,0
"62","Kec. Jatitujuh ","Majalengka","Jawa Barat",0.11,0,0,0,0
"63","Kec. Losari ","Cirebon","Jambi",0,0,0.17,0,0.12
"64","Kec. Babakan ","Cirebon","Jambi",0.3,0.75,0.5,0.5,0.25
"65","Kec. Lemah Abang ","Cirebon","Jambi",0.06,0,0,0,0
"66","Kec. Beber ","Cirebon","Jambi",0.46,0.5,0.4,0.33,0.25
"67","Kec. Sumber ","Cirebon","Jambi",0.21,0.17,0,0.5,0
"68","Kec. Palimanan ","Cirebon","Jambi",0.75,0.8,0.75,0.5,0.5
"69","Kec. Plumbon ","Cirebon","Jambi",0,0,0.2,0,0.5
"70","Kec. Weru ","Cirebon","Jambi",0,0,0.5,0,0.5
"71","Kec. Arjawinangun ","Cirebon","Jambi",0.06,0,0,0,0
"72","Kec. Ciwaringin ","Cirebon","Jambi",0,0,0.5,0,0.5
"73","Kec. Susukan ","Cirebon","Jambi",0,0,0.12,0,0.5
"74","Kec. Gegesik ","Cirebon","Jambi",0.12,0.14,0.14,0.33,0.5
"75","Kec. Pabedilan ","Cirebon","Jambi",0,0.33,0,0.5,0
"76","Kec. Dukupuntang ","Cirebon","Jambi",0.48,0.5,0.4,0.5,0.67
"77","Kec. Kaliwedi ","Cirebon","Jambi",0.25,0.25,0,0,0
"78","Kec. Kedawung ","Cirebon","Jambi",0,0,0.08,0,0.17
"79","Kec. Tengah Tani ","Cirebon","Jambi",0,0,0.33,0,0.5
