Kecamatan,Lab Baik,Lab Rusak Ringan,Lab Rusak Sedang,Lab Rusak Berat,Lab Rusak Total,Lab Total
Kec. Kepulauan Seribu Utara Kab. Kepulauan Seribu,0,3,0,0,0,3
Kec. Tanah Abang Kota Jakarta Pusat,46,1,0,0,0,47
Kec. Menteng Kota Jakarta Pusat,20,0,0,0,0,20
Kec. Senen Kota Jakarta Pusat,22,3,0,0,0,25
Kec. Johar Baru Kota Jakarta Pusat,8,0,0,0,0,8
Kec. Cempaka Putih Kota Jakarta Pusat,9,3,0,0,0,12
Kec. Kemayoran Kota Jakarta Pusat,28,0,0,0,0,28
Kec. Sawah Besar Kota Jakarta Pusat,26,3,0,0,0,29
Kec. Gambir Kota Jakarta Pusat,25,0,0,0,0,25
Kec. Penjaringan Kota Jakarta Utara,73,3,0,0,0,76
Kec. Pademangan Kota Jakarta Utara,11,0,0,0,0,11
Kec. Tanjung Priok Kota Jakarta Utara,38,4,0,0,0,42
Kec. Koja Kota Jakarta Utara,24,0,0,0,0,24
Kec. Kelapa Gading Kota Jakarta Utara,58,7,0,0,0,65
Kec. Cilincing Kota Jakarta Utara,29,0,0,0,0,29
Kec. Kembangan Kota Jakarta Barat,44,6,0,0,0,50
Kec. Kebon Jeruk Kota Jakarta Barat,40,3,0,0,0,43
Kec. Palmerah Kota Jakarta Barat,12,3,0,0,0,15
Kec. Grogol Petamburan Kota Jakarta Barat,49,3,0,0,0,52
Kec. Tambora Kota Jakarta Barat,20,0,0,0,0,20
Kec. Taman Sari Kota Jakarta Barat,20,0,0,0,0,20
Kec. Cengkareng Kota Jakarta Barat,65,0,0,0,0,65
Kec. Kali Deres Kota Jakarta Barat,58,7,0,0,0,65
Kec. Jagakarsa Kota Jakarta Selatan,28,4,0,0,0,32
Kec. Pasar Minggu Kota Jakarta Selatan,24,3,0,0,0,27
Kec. Cilandak Kota Jakarta Selatan,39,3,0,0,0,42
Kec. Pesanggrahan Kota Jakarta Selatan,18,4,0,0,0,22
Kec. Kebayoran Lama Kota Jakarta Selatan,37,0,0,0,0,37
Kec. Kebayoran Baru Kota Jakarta Selatan,51,0,0,0,0,51
