Kecamatan,Perpus Baik,Perpus Rusak Ringan,Perpus Rusak Sedang,Perpus Rusak Berat,Perpus Rusak Total,Perpus Total
Kec. Kepulauan Seribu Utara Kab. Kepulauan Seribu,0,1,0,0,0,1
Kec. Tanah Abang Kota Jakarta Pusat,15,2,0,0,0,17
Kec. Menteng Kota Jakarta Pusat,7,0,0,0,0,7
Kec. Senen Kota Jakarta Pusat,6,2,0,0,0,8
Kec. Johar Baru Kota Jakarta Pusat,2,0,0,0,0,2
Kec. Cempaka Putih Kota Jakarta Pusat,5,1,0,0,0,6
Kec. Kemayoran Kota Jakarta Pusat,11,0,0,0,0,11
Kec. Sawah Besar Kota Jakarta Pusat,14,1,0,0,0,15
Kec. Gambir Kota Jakarta Pusat,7,0,0,0,0,7
Kec. Penjaringan Kota Jakarta Utara,27,1,0,0,0,28
Kec. Pademangan Kota Jakarta Utara,4,0,0,0,0,4
Kec. Tanjung Priok Kota Jakarta Utara,17,2,0,0,0,19
Kec. Koja Kota Jakarta Utara,8,0,0,0,0,8
Kec. Kelapa Gading Kota Jakarta Utara,20,3,0,0,0,23
Kec. Cilincing Kota Jakarta Utara,11,0,0,0,0,11
Kec. Kembangan Kota Jakarta Barat,18,1,0,0,0,19
Kec. Kebon Jeruk Kota Jakarta Barat,14,1,0,0,0,15
Kec. Palmerah Kota Jakarta Barat,5,1,0,0,0,6
Kec. Grogol Petamburan Kota Jakarta Barat,19,1,0,0,0,20
Kec. Tambora Kota Jakarta Barat,8,0,0,0,0,8
Kec. Taman Sari Kota Jakarta Barat,8,0,0,0,0,8
Kec. Cengkareng Kota Jakarta Barat,23,0,0,0,0,23
Kec. Kali Deres Kota Jakarta Barat,23,2,0,0,0,25
Kec. Jagakarsa Kota Jakarta Selatan,10,2,0,0,0,12
Kec. Pasar Minggu Kota Jakarta Selatan,10,1,0,0,0,11
Kec. Cilandak Kota Jakarta Selatan,14,1,0,0,0,15
Kec. Pesanggrahan Kota Jakarta Selatan,7,0,0,0,0,7
Kec. Kebayoran Lama Kota Jakarta Selatan,15,0,0,0,0,15
Kec. Kebayoran Baru Kota Jakarta Selatan,20,0,0,0,0,20
Kec. Mampang Prapatan Kota Jakarta Selatan,7,0,0,0,0,7
Kec. Pancoran Kota Jakarta Selatan,4,0,0,0,0,4
Kec. Tebet Kota Jakarta Selatan,11,0,0,0,0,11
Kec. Setia Budi Kota Jakarta Selatan,4,0,0,0,0,4
Kec. Pasar Rebo Kota Jakarta Timur,10,1,0,0,0,11
Kec. Ciracas Kota Jakarta Timur,16,0,0,0,0,16
Kec. Cipayung Kota Jakarta Timur,11,1,0,0,0,12
Kec. Makasar Kota Jakarta Timur,8,2,0,0,0,10
Kec. Kramat Jati Kota Jakarta Timur,10,1,0,0,0,11
Kec. Jatinegara Kota Jakarta Timur,10,0,0,0,0,10
Kec. Duren Sawit Kota Jakarta Timur,19,3,0,0,0,22
Kec. Cakung Kota Jakarta Timur,17,0,0,0,0,17
Kec. Pulo Gadung Kota Jakarta Timur,15,0,0,0,0,15
Kec. Matraman Kota Jakarta Timur,7,0,0,0,0,7
Kec. Jatinangor Kab. Sumedang,6,1,0,0,0,7
Kec. Cimanggung Kab. Sumedang,3,0,0,0,0,3
Kec. Tanjungsari Kab. Sumedang,6,0,0,0,0,6
Kec. Rancakalong Kab. Sumedang,2,0,0,0,0,2
Kec. Sumedang Selatan Kab. Sumedang,1,0,0,0,0,1
Kec. Sumedang Utara Kab. Sumedang,2,0,0,0,0,2
Kec. Situraja Kab. Sumedang,3,0,0,0,0,3
Kec. Darmaraja Kab. Sumedang,0,0,0,0,0,0
Kec. Tomo Kab. Sumedang,1,0,0,0,0,1
Kec. Conggeang Kab. Sumedang,1,0,0,0,0,1
Kec. Cimalaka Kab. Sumedang,1,1,0,0,0,2
Kec. Tanjungkerta Kab. Sumedang,0,1,0,0,0,1
Kec. Pamulihan Kab. Sumedang,0,0,0,0,0,0
Kec. Jatinunggal Kab. Sumedang,1,1,0,0,0,2
Kec. Bantarujeg Kab. Majalengka,1,0,0,0,0,1
Kec. Cikijing Kab. Majalengka,1,1,0,0,0,2
Kec. Talaga Kab. Majalengka,1,0,0,0,0,1
Kec. Maja Kab. Majalengka,1,0,0,0,0,1
Kec. Majalengka Kab. Majalengka,2,1,0,0,0,3
Kec. Sukahaji Kab. Majalengka,2,0,0,0,0,2
Kec. Rajagaluh Kab. Majalengka,3,1,0,0,0,4
Kec. Sindangwangi Kab. Majalengka,1,0,0,0,0,1
Kec. Leuwimunding Kab. Majalengka,0,1,0,0,0,1
Kec. Palasah Kab. Majalengka,1,0,0,0,0,1
Kec. Jatiwangi Kab. Majalengka,3,0,0,0,0,3
Kec. Dawuan Kab. Majalengka,0,0,0,0,0,0
Kec. Kadipaten Kab. Majalengka,1,0,0,0,0,1
Kec. Jatitujuh Kab. Majalengka,1,0,0,0,0,1
Kec. Ligung Kab. Majalengka,2,0,0,0,0,2
Kec. Sumberjaya Kab. Majalengka,1,0,0,0,0,1
Kec. Sindang Kab. Majalengka,1,0,0,0,0,1
Kec. Kasokandel Kab. Majalengka,2,0,0,0,0,2
Kec. Waled Kab. Cirebon,1,0,0,0,0,1
Kec. Ciledug Kab. Cirebon,2,0,0,0,0,2
Kec. Losari Kab. Cirebon,2,0,0,0,0,2
Kec. Babakan Kab. Cirebon,1,1,0,0,0,2
Kec. Karang Sembung Kab. Cirebon,1,0,0,0,0,1
Kec. Lemah Abang Kab. Cirebon,3,0,0,0,0,3
Kec. Astana Japura Kab. Cirebon,1,0,0,0,0,1
Kec. Beber Kab. Cirebon,2,1,0,0,0,3
Kec. Sumber Kab. Cirebon,1,1,0,0,0,2
Kec. Palimanan Kab. Cirebon,1,1,0,0,0,2
Kec. Plumbon Kab. Cirebon,2,0,0,0,0,2
Kec. Weru Kab. Cirebon,1,0,0,0,0,1
Kec. Kapetakan Kab. Cirebon,1,0,0,0,0,1
Kec. Klangenan Kab. Cirebon,1,0,0,0,0,1
Kec. Arjawinangun Kab. Cirebon,1,0,0,0,0,1
Kec. Ciwaringin Kab. Cirebon,1,0,0,0,0,1
Kec. Susukan Kab. Cirebon,2,0,0,0,0,2
Kec. Gegesik Kab. Cirebon,2,1,0,0,0,3
Kec. Pabedilan Kab. Cirebon,1,1,0,0,0,2
Kec. Dukupuntang Kab. Cirebon,1,1,0,0,0,2
Kec. Panguragan Kab. Cirebon,1,0,0,0,0,1
Kec. Kaliwedi Kab. Cirebon,2,0,0,0,0,2
Kec. Pangenan Kab. Cirebon,0,0,0,0,0,0
Kec. Kedawung Kab. Cirebon,4,0,0,0,0,4
Kec. Karangwareng Kab. Cirebon,2,0,0,0,0,2
Kec. Gunung Jati Kab. Cirebon,0,1,0,0,0,1
Kec. Tengah Tani Kab. Cirebon,1,0,0,0,0,1
Kec. Suranenggala Kab. Cirebon,1,0,0,0,0,1
Kec. Jamblang Kab. Cirebon,1,0,0,0,0,1
Kec. Kota Bogor Selatan Kota Bogor,12,0,0,0,0,12
Kec. Kota Bogor Timur Kota Bogor,8,0,0,0,0,8
Kec. Kota Bogor Utara Kota Bogor,8,0,0,0,0,8
Kec. Kota Bogor Tengah Kota Bogor,14,0,0,0,0,14
Kec. Kota Bogor Barat Kota Bogor,10,1,0,0,0,11
Kec. Tanah Sareal Kota Bogor,6,3,0,0,0,9
Kec. Baros Kota Sukabumi,1,0,0,0,0,1
Kec. Citamiang Kota Sukabumi,2,0,0,0,0,2
Kec. Warudoyong Kota Sukabumi,0,0,0,0,0,0
Kec. Gunung Puyuh Kota Sukabumi,5,0,0,0,0,5
Kec. Cikole Kota Sukabumi,9,0,0,0,0,9
Kec. Cibeureum Kota Sukabumi,2,0,0,0,0,2
Kec. Harjamukti Kota Cirebon,2,0,0,0,0,2
Kec. Lemahwungkuk Kota Cirebon,4,0,0,0,0,4
Kec. Kesambi Kota Cirebon,12,3,0,0,0,15
Kec. Kejaksan Kota Cirebon,6,0,0,0,0,6
Kec. Pondokgede Kota Bekasi,6,0,0,0,0,6
Kec. Jatiasih Kota Bekasi,12,1,0,0,0,13
Kec. Bantargebang Kota Bekasi,2,1,0,0,0,3
Kec. Bekasi Timur Kota Bekasi,13,1,0,0,0,14
Kec. Bekasi Selatan Kota Bekasi,13,0,0,0,0,13
Kec. Bekasi Barat Kota Bekasi,10,0,0,0,0,10
Kec. Bekasi Utara Kota Bekasi,13,0,0,0,0,13
Kec. Jati Sampurna Kota Bekasi,5,1,0,0,0,6
Kec. Medan Satria Kota Bekasi,9,2,0,0,0,11
Kec. Rawalumbu Kota Bekasi,9,1,0,0,0,10
Kec. Mustika Jaya Kota Bekasi,6,1,0,0,0,7
Kec. Pondok Melati Kota Bekasi,8,0,0,0,0,8
Kec. Sawangan Kota Depok,4,1,0,0,0,5
Kec. Pancoran Mas Kota Depok,14,2,0,0,0,16
Kec. Sukmajaya Kota Depok,9,1,0,0,0,10
Kec. Cimanggis Kota Depok,7,1,0,0,0,8
Kec. Beji Kota Depok,2,2,0,0,0,4
Kec. Limo Kota Depok,2,1,0,0,0,3
Kec. Cipayung Kota Depok,3,0,0,0,0,3
Kec. Cilodong Kota Depok,5,1,0,0,0,6
Kec. Cinere Kota Depok,4,0,0,0,0,4
Kec. Tapos Kota Depok,4,0,0,0,0,4
Kec. Bojongsari Kota Depok,3,1,0,0,0,4
Kec. Talegong Kab. Garut,5,0,0,0,0,5
Kec. Cisewu Kab. Garut,1,0,0,0,0,1
Kec. Bungbulang Kab. Garut,3,0,0,0,0,3
Kec. Pakenjeng Kab. Garut,6,0,0,0,0,6
Kec. Cikelet Kab. Garut,2,0,0,0,0,2
Kec. Pameungpeuk Kab. Garut,3,1,0,0,0,4
Kec. Cibalong Kab. Garut,4,1,0,0,0,5
Kec. Cisompet Kab. Garut,4,2,0,0,0,6
Kec. Peundeuy Kab. Garut,2,0,0,0,0,2
Kec. Singajaya Kab. Garut,2,0,0,0,0,2
Kec. Cikajang Kab. Garut,2,1,0,0,0,3
Kec. Banjarwangi Kab. Garut,1,1,0,0,0,2
Kec. Cilawu Kab. Garut,3,0,0,0,0,3
Kec. Bayongbong Kab. Garut,0,1,0,0,0,1
Kec. Cisurupan Kab. Garut,2,0,0,0,0,2
Kec. Samarang Kab. Garut,2,0,0,0,0,2
Kec. Garut Kota Kab. Garut,2,2,0,0,0,4
Kec. Karangpawitan Kab. Garut,2,0,0,0,0,2
Kec. Wanaraja Kab. Garut,1,1,0,0,0,2
Kec. Sukawening Kab. Garut,4,0,0,0,0,4
Kec. Banyuresmi Kab. Garut,2,1,0,0,0,3
Kec. Leles Kab. Garut,5,0,0,0,0,5
Kec. Leuwigoong Kab. Garut,0,0,0,0,0,0
Kec. Cibatu Kab. Garut,2,1,0,0,0,3
Kec. Cibiuk Kab. Garut,2,0,0,0,0,2
Kec. Kadungora Kab. Garut,4,1,0,0,0,5
Kec. Blubur Limbangan Kab. Garut,4,0,0,0,0,4
Kec. Selaawi Kab. Garut,0,0,0,0,0,0
Kec. Malangbong Kab. Garut,5,0,0,0,0,5
Kec. Mekarmukti Kab. Garut,1,1,0,0,0,2
Kec. Caringin Kab. Garut,2,0,0,0,0,2
Kec. Cihurip Kab. Garut,0,1,0,0,0,1
Kec. Sukaresmi Kab. Garut,4,1,0,0,0,5
Kec. Pasirwangi Kab. Garut,4,0,0,0,0,4
Kec. Karangtengah Kab. Garut,0,0,0,0,0,0
Kec. Kersamanah Kab. Garut,1,0,0,0,0,1
Kec. Tarogong Kaler Kab. Garut,0,1,0,0,0,1
Kec. Tarogong Kidul Kab. Garut,5,1,0,0,0,6
Kec. Cigedug Kab. Garut,2,0,0,0,0,2
Kec. Sucinaraja Kab. Garut,1,0,0,0,0,1
Kec. Haurgeulis Kab. Indramayu,2,0,0,0,0,2
Kec. Kroya Kab. Indramayu,0,1,0,0,0,1
Kec. Gabuswetan Kab. Indramayu,1,0,0,0,0,1
Kec. Lelea Kab. Indramayu,1,0,0,0,0,1
Kec. Bangodua Kab. Indramayu,0,0,0,0,0,0
Kec. Widasari Kab. Indramayu,1,0,0,0,0,1
Kec. Kertasemaya Kab. Indramayu,3,0,0,0,0,3
Kec. Krangkeng Kab. Indramayu,3,0,0,0,0,3
Kec. Karangampel Kab. Indramayu,2,0,0,0,0,2
Kec. Juntinyuat Kab. Indramayu,2,0,0,0,0,2
Kec. Sliyeg Kab. Indramayu,2,0,0,0,0,2
Kec. Jatibarang Kab. Indramayu,3,0,0,0,0,3
Kec. Balongan Kab. Indramayu,1,0,0,0,0,1
Kec. Indramayu Kab. Indramayu,5,0,0,0,0,5
Kec. Sindang Kab. Indramayu,5,0,0,0,0,5
Kec. Lohbener Kab. Indramayu,2,0,0,0,0,2
Kec. Losarang Kab. Indramayu,2,0,0,0,0,2
Kec. Kandanghaur Kab. Indramayu,2,2,0,0,0,4
Kec. Bongas Kab. Indramayu,1,0,0,0,0,1
Kec. Anjatan Kab. Indramayu,3,0,0,0,0,3
Kec. Sukra Kab. Indramayu,2,0,0,0,0,2
Kec. Arahan Kab. Indramayu,1,0,0,0,0,1
Kec. Cantigi Kab. Indramayu,1,0,0,0,0,1
Kec. Gantar Kab. Indramayu,1,0,0,0,0,1
Kec. Terisi Kab. Indramayu,1,1,0,0,0,2
Kec. Sukagumiwang Kab. Indramayu,1,0,0,0,0,1
Kec. Kedokan Bunder Kab. Indramayu,1,0,0,0,0,1
Kec. Pasekan Kab. Indramayu,1,0,0,0,0,1
Kec. Tukdana Kab. Indramayu,0,1,0,0,0,1
Kec. Patrol Kab. Indramayu,1,0,0,0,0,1
Kec. Sagalaherang Kab. Subang,1,0,0,0,0,1
Kec. Jalancagak Kab. Subang,7,0,0,0,0,7
Kec. Cisalak Kab. Subang,3,0,0,0,0,3
Kec. Tanjungsiang Kab. Subang,3,0,0,0,0,3
Kec. Cijambe Kab. Subang,0,1,0,0,0,1
Kec. Cibogo Kab. Subang,0,0,0,0,0,0
Kec. Subang Kab. Subang,10,2,0,0,0,12
Kec. Kalijati Kab. Subang,5,0,0,0,0,5
Kec. Cipeundeuy Kab. Subang,1,0,0,0,0,1
Kec. Pabuaran Kab. Subang,0,1,0,0,0,1
Kec. Patokbeusi Kab. Subang,1,0,0,0,0,1
Kec. Purwadadi Kab. Subang,3,0,0,0,0,3
Kec. Pagaden Kab. Subang,4,2,0,0,0,6
Kec. Compreng Kab. Subang,1,0,0,0,0,1
Kec. Binong Kab. Subang,1,0,0,0,0,1
Kec. Ciasem Kab. Subang,2,0,0,0,0,2
Kec. Pamanukan Kab. Subang,2,0,0,0,0,2
Kec. Pusakanagara Kab. Subang,2,0,0,0,0,2
Kec. Blanakan Kab. Subang,1,0,0,0,0,1
Kec. Serangpanjang Kab. Subang,1,0,0,0,0,1
Kec. Kasomalang Kab. Subang,1,0,0,0,0,1
Kec. Cimahi Selatan Kota Cimahi,5,0,0,0,0,5
Kec. Cimahi Tengah Kota Cimahi,7,0,0,0,0,7
Kec. Cimahi Utara Kota Cimahi,4,0,0,0,0,4
Kec. Cibeureum Kota Tasikmalaya,2,0,0,0,0,2
Kec. Tamansari Kota Tasikmalaya,2,0,0,0,0,2
Kec. Kawalu Kota Tasikmalaya,3,0,0,0,0,3
Kec. Mangkubumi Kota Tasikmalaya,2,0,0,0,0,2
Kec. Indihiang Kota Tasikmalaya,3,1,0,0,0,4
Kec. Cipedes Kota Tasikmalaya,2,0,0,0,0,2
Kec. Cihideung Kota Tasikmalaya,3,1,0,0,0,4
Kec. Tawang Kota Tasikmalaya,8,2,0,0,0,10
Kec. Purbaratu Kota Tasikmalaya,1,0,0,0,0,1
Kec. Bungursari Kota Tasikmalaya,2,1,0,0,0,3
