Kecamatan,Toilet Guru P Baik,Toilet Guru P Rusak Ringan,Toilet Guru P Rusak Sedang,Toilet Guru P Rusak Berat,Toilet Guru P Rusak Total,Toilet Guru P Total
Kec. Kepulauan Seribu Utara Kab. Kepulauan Seribu,0,2,0,0,0,2
Kec. Tanah Abang Kota Jakarta Pusat,32,2,0,0,0,34
Kec. Menteng Kota Jakarta Pusat,9,1,0,0,0,10
Kec. Senen Kota Jakarta Pusat,11,3,0,0,0,14
Kec. Johar Baru Kota Jakarta Pusat,3,1,0,0,0,4
Kec. Cempaka Putih Kota Jakarta Pusat,15,3,0,0,0,18
Kec. Kemayoran Kota Jakarta Pusat,17,1,0,0,0,18
Kec. Sawah Besar Kota Jakarta Pusat,17,5,0,0,0,22
Kec. Gambir Kota Jakarta Pusat,12,2,0,0,0,14
Kec. Penjaringan Kota Jakarta Utara,47,3,0,0,0,50
Kec. Pademangan Kota Jakarta Utara,3,1,0,0,0,4
Kec. Tanjung Priok Kota Jakarta Utara,31,7,0,0,0,38
Kec. Koja Kota Jakarta Utara,15,3,0,0,0,18
Kec. Kelapa Gading Kota Jakarta Utara,38,4,0,0,0,42
Kec. Cilincing Kota Jakarta Utara,15,3,0,0,0,18
Kec. Kembangan Kota Jakarta Barat,26,5,0,0,0,31
Kec. Kebon Jeruk Kota Jakarta Barat,23,3,0,0,0,26
Kec. Palmerah Kota Jakarta Barat,8,2,0,0,0,10
Kec. Grogol Petamburan Kota Jakarta Barat,34,2,0,0,0,36
Kec. Tambora Kota Jakarta Barat,11,1,0,0,0,12
Kec. Taman Sari Kota Jakarta Barat,22,2,0,0,0,24
Kec. Cengkareng Kota Jakarta Barat,34,4,0,0,0,38
Kec. Kali Deres Kota Jakarta Barat,41,5,0,0,0,46
Kec. Jagakarsa Kota Jakarta Selatan,20,2,0,0,0,22
Kec. Pasar Minggu Kota Jakarta Selatan,16,2,0,0,0,18
Kec. Cilandak Kota Jakarta Selatan,22,4,0,0,0,26
Kec. Pesanggrahan Kota Jakarta Selatan,14,0,0,0,0,14
Kec. Kebayoran Lama Kota Jakarta Selatan,29,3,0,0,0,32
Kec. Kebayoran Baru Kota Jakarta Selatan,32,5,0,0,0,37
Kec. Mampang Prapatan Kota Jakarta Selatan,9,1,0,0,0,10
Kec. Pancoran Kota Jakarta Selatan,7,1,0,0,0,8
Kec. Tebet Kota Jakarta Selatan,21,1,0,0,0,22
Kec. Setia Budi Kota Jakarta Selatan,5,3,0,0,0,8
Kec. Pasar Rebo Kota Jakarta Timur,24,4,0,0,0,28
Kec. Ciracas Kota Jakarta Timur,20,2,0,0,0,22
Kec. Cipayung Kota Jakarta Timur,15,1,0,0,0,16
Kec. Makasar Kota Jakarta Timur,15,5,0,0,0,20
Kec. Kramat Jati Kota Jakarta Timur,18,4,0,0,0,22
Kec. Jatinegara Kota Jakarta Timur,17,3,0,0,0,20
Kec. Duren Sawit Kota Jakarta Timur,30,8,0,0,0,38
Kec. Cakung Kota Jakarta Timur,25,3,0,0,0,28
Kec. Pulo Gadung Kota Jakarta Timur,30,2,0,0,0,32
Kec. Matraman Kota Jakarta Timur,12,2,0,0,0,14
Kec. Jatinangor Kab. Sumedang,7,0,0,0,0,7
Kec. Cimanggung Kab. Sumedang,1,3,0,0,0,4
Kec. Tanjungsari Kab. Sumedang,6,0,0,0,0,6
Kec. Rancakalong Kab. Sumedang,1,1,0,0,0,2
Kec. Sumedang Selatan Kab. Sumedang,1,1,0,0,0,2
Kec. Sumedang Utara Kab. Sumedang,2,2,0,0,0,4
Kec. Situraja Kab. Sumedang,6,0,0,0,0,6
Kec. Darmaraja Kab. Sumedang,4,0,0,0,0,4
Kec. Tomo Kab. Sumedang,1,1,0,0,0,2
Kec. Conggeang Kab. Sumedang,2,0,0,0,0,2
Kec. Cimalaka Kab. Sumedang,1,3,0,0,0,4
Kec. Tanjungkerta Kab. Sumedang,1,1,0,0,0,2
Kec. Pamulihan Kab. Sumedang,0,0,0,0,0,0
Kec. Jatinunggal Kab. Sumedang,2,0,0,0,0,2
Kec. Bantarujeg Kab. Majalengka,6,0,0,0,0,6
Kec. Cikijing Kab. Majalengka,1,3,0,0,0,4
Kec. Talaga Kab. Majalengka,2,0,0,0,0,2
Kec. Maja Kab. Majalengka,0,0,0,0,0,0
Kec. Majalengka Kab. Majalengka,3,3,0,0,0,6
Kec. Sukahaji Kab. Majalengka,2,0,0,0,0,2
Kec. Rajagaluh Kab. Majalengka,5,1,0,0,0,6
Kec. Sindangwangi Kab. Majalengka,2,0,0,0,0,2
Kec. Leuwimunding Kab. Majalengka,2,0,0,0,0,2
Kec. Palasah Kab. Majalengka,2,0,0,0,0,2
Kec. Jatiwangi Kab. Majalengka,6,0,0,0,0,6
Kec. Dawuan Kab. Majalengka,0,0,0,0,0,0
Kec. Kadipaten Kab. Majalengka,2,0,0,0,0,2
Kec. Jatitujuh Kab. Majalengka,0,0,0,0,0,0
Kec. Ligung Kab. Majalengka,2,0,0,0,0,2
