Provinsi,Kab.Kota
Bengkulu,Yogyakarta
Nusa Tenggara Timur (NTT),Yalimo
Nusa Tenggara Timur (NTT),Yahukimo
Jawa Barat,Wonosobo
Jawa Barat,Wonogiri
Kepulauan Riau,Way Kanan
Nusa Tenggara Timur (NTT),Waropen
Sulawesi Selatan,Wakatobi
Riau,Wajo
Jawa Timur,Tulungagung
Kalimantan Utara,Tulang Bawang Barat
Kalimantan Utara,Tulang Bawang
Jawa Timur,Tuban
Lampung,Tual
Jawa Timur,Trenggalek
Riau,Toraja Utara
Sulawesi Tengah,Tomohon
Nusa Tenggara Timur (NTT),Tolikara
Sulawesi Barat,Toli-Toli
Sulawesi Barat,Tojo Una-Una
Sumatera Selatan,Toba Samosir
Nusa Tenggara Timur (NTT),Timor Tengah Utara
Nusa Tenggara Timur (NTT),Timor Tengah Selatan
Lampung,Tidore Kepulauan
Lampung,Ternate
Jawa Barat,Temanggung
Papua,Teluk Wondama
Papua,Teluk Bintuni
Jawa Tengah,Tegal
Gorontalo,Tebo
Sumatera Selatan,Tebing Tinggi
Jawa Barat,Tasikmalaya
Kalimantan Tengah,Tarakan
Kalimantan Barat,Tapin
Sumatera Selatan,Tapanuli Utara
Sumatera Selatan,Tapanuli Tengah
Sumatera Selatan,Tapanuli Selatan
Kalimantan Timur,Tanjung Pinang
Jambi,Tanjung Jabung Timur
Gorontalo,Tanjung Jabung Barat
Sumatera Selatan,Tanjung Balai
Kalimantan Utara,Tanggamus
Banten,Tangerang Selatan
Banten,Tangerang
Kalimantan Barat,Tanah Laut
Sulawesi Tenggara,Tanah Datar
Kalimantan Barat,Tanah Bumbu
Riau,Tana Toraja
Kalimantan Tengah,Tana Tidung
Papua,Tambrauw
Papua Barat,Takalar
Bali,Tabanan
Kalimantan Barat,Tabalong
Jawa Tengah,Surakarta
Jawa Timur,Surabaya
Nusa Tenggara Timur (NTT),Supiori
Jambi,Sungaipenuh
Jawa Timur,Sumenep
Jawa Barat,Sumedang
Nanggroe Aceh Darussalam (NAD),Sumbawa Barat
Nanggroe Aceh Darussalam (NAD),Sumbawa
Nusa Tenggara Barat (NTB),Sumba Timur
Nusa Tenggara Barat (NTB),Sumba Tengah
Nusa Tenggara Barat (NTB),Sumba Barat Daya
Nusa Tenggara Barat (NTB),Sumba Barat
Jawa Tengah,Sukoharjo
Kalimantan Selatan,Sukamara
Jawa Barat,Sukabumi
Nanggroe Aceh Darussalam (NAD),Subulussalam
Jawa Barat,Subang
Jawa Tengah,Sragen
Nusa Tenggara Timur (NTT),Sorong Selatan
Nusa Tenggara Timur (NTT),Sorong
Papua Barat,Soppeng
Sulawesi Tenggara,Solok Selatan
Sulawesi Tenggara,Solok
DI Yogyakarta,Sleman
Jawa Timur,Situbondo
Jawa Timur,Sintang
Papua Barat,Sinjai
Jawa Timur,Singkawang
Maluku Utara,Simeulue
Sumatera Selatan,Simalungun
Nusa Tenggara Barat (NTB),Sikka
Sulawesi Tenggara,Sijunjung
Sulawesi Barat,Sigi
Jawa Timur,Sidoarjo
Papua Barat,Sidenreng Rappang
Sumatera Selatan,Sibolga
Papua,Siak
Kalimantan Selatan,Seruyan
Sumatera Selatan,Serdang Bedagai
Banten,Serang
Lampung,Seram Bagian Timur
Lampung,Seram Bagian Barat
Jawa Tengah,Semarang
Banten,Seluma
Jawa Timur,Sekadau
Sulawesi Tenggara,Sawah Lunto
Jambi,Sarolangun
Nusa Tenggara Timur (NTT),Sarmi
Jawa Timur,Sanggau
Jawa Timur,Sampang
Sumatera Selatan,Samosir
Jawa Timur,Sambas
Kalimantan Tengah,Samarinda
Jawa Tengah,Salatiga
Nusa Tenggara Barat (NTB),Sabu Raijua
Maluku Utara,Sabang
Nusa Tenggara Barat (NTB),Rote Ndao
Papua,Rokan Hulu
Papua,Rokan Hilir
Jawa Tengah,Rembang
Bengkulu,Rejang Lebong
Nusa Tenggara Timur (NTT),Raja Ampat
Jawa Tengah,Purworejo
Jawa Barat,Purwakarta
Jawa Tengah,Purbalingga
Nusa Tenggara Timur (NTT),Puncak Jaya
Nusa Tenggara Timur (NTT),Puncak
Lampung,Pulau Taliabu
Lampung,Pulau Morotai
Kalimantan Selatan,Pulang Pisau
Jawa Timur,Probolinggo
Kalimantan Utara,Pringsewu
Sulawesi Utara,Prabumulih
Sulawesi Barat,Poso
Jawa Timur,Pontianak
Jawa Timur,Ponorogo
Papua,Polewali Mandar
DKI Jakarta,Pohuwato
