Wilayah,Arealist
,Kode Wilayah
Indonesia,000000
Prov. D.K.I. Jakarta,010000
Kab. Kepulauan Seribu,010100
Kota Jakarta Pusat,016000
Kota Jakarta Utara,016100
Kota Jakarta Barat,016200
Kota Jakarta Selatan,016300
Kota Jakarta Timur,016400
Prov. Jawa Barat,020000
Kab. Sumedang,021000
Kab. Majalengka,021600
Kab. Cirebon,021700
Kota Bogor,026100
Kota Sukabumi,026200
Kota Cirebon,026300
Kota Bekasi,026500
Kota Depok,026600
Kab. Garut,021100
Kab. Indramayu,021800
Kab. Subang,021900
Kota Cimahi,026700
Kota Tasikmalaya,026800
Kota Banjar,026900
Kab. Bogor,020500
Kab. Bandung,020800
Kab. Kuningan,021500
Kab. Bandung Barat,022300
Kab. Pangandaran,022500
Kota Bandung,026000
Kab. Sukabumi,020600
Kab. Tasikmalaya,021200
Kab. Purwakarta,022000
Kab. Karawang,022100
Kab. Cianjur,020700
Kab. Ciamis,021400
Kab. Bekasi,022200
Prov. Jawa Tengah,030000
Kab. Magelang,030800
Kab. Rembang,031700
Kab. Pati,031800
Kab. Batang,032500
Kab. Pekalongan,032600
Kab. Banjarnegara,030400
Kab. Sukoharjo,031100
Kab. Kudus,031900
Kota Pekalongan,036400
Kota Tegal,036500
Kab. Boyolali,030900
Kab. Klaten,031000
Kota Magelang,036000
Kota Surakarta,036100
Kota Salatiga,036200
Kota Semarang,036300
Kab. Cilacap,030100
Kab. Pemalang,032700
Kab. Banyumas,030200
Kab. Purbalingga,030300
Kab. Tegal,032800
Kab. Brebes,032900
Kab. Wonosobo,030700
Kab. Blora,031600
Kab. Kendal,032400
Kab. Kebumen,030500
Kab. Wonogiri,031200
Kab. Karanganyar,031300
Kab. Jepara,032000
Kab. Demak,032100
Kab. Purworejo,030600
Kab. Sragen,031400
Kab. Grobogan,031500
Kab. Semarang,032200
Kab. Temanggung,032300
Prov. D.I. Yogyakarta,040000
Kab. Bantul,040100
Kab. Sleman,040200
Kab. Gunung Kidul,040300
Kab. Kulon Progo,040400
Kota Yogyakarta,046000
Prov. Jawa Timur,050000
Kab. Trenggalek,051700
Kab. Malang,051800
Kab. Sumenep,052800
Kab. Bangkalan,052900
Kab. Jombang,050400
Kab. Bojonegoro,050500
Kab. Ponorogo,051100
Kab. Probolinggo,052000
Kota Malang,056100
Kota Madiun,056200
Kota Kediri,056300
Kota Mojokerto,056400
Kota Blitar,056500
Kota Pasuruan,056600
Kota Probolinggo,056700
Kota Batu,056800
Kab. Tuban,050600
Kab. Nganjuk,051400
Kab. Jember,052400
Kab. Banyuwangi,052500
Kab. Pacitan,051200
Kab. Kediri,051300
Kab. Lumajang,052100
Kab. Bondowoso,052200
Kab. Situbondo,052300
Kab. Mojokerto,050300
Kab. Ngawi,050900
Kab. Magetan,051000
Kab. Pasuruan,051900
Kota Surabaya,056000
Kab. Gresik,050100
Kab. Lamongan,050700
Kab. Blitar,051500
Kab. Tulungagung,051600
Kab. Pamekasan,052600
Kab. Sampang,052700
Kab. Sidoarjo,050200
Kab. Madiun,050800
Prov. Aceh,060000
Kab. Aceh Utara,060300
Kab. Aceh Selatan,060700
Kab. Aceh Tenggara,060800
Kota Subulussalam,066400
Kab. Aceh Besar,060100
Kab. Aceh Timur,060400
Kab. Bireuen,061200
Kab. Pidie,060200
Kab. Aceh Tengah,060500
Kab. Bener Meriah,061900
Kab. Aceh Jaya,061600
Kab. Aceh Barat Daya,061700
Kab. Gayo Lues,061800
Kab. Aceh Singkil,061300
Kab. Aceh Tamiang,061400
Kab. Nagan Raya,061500
Kab. Simeulue,061100
Kab. Aceh Barat,060600
Kab. Pidie Jaya,062000
Kota Sabang,066000
Kota Banda Aceh,066100
Kota Lhokseumawe,066200
Kota Langsa,066300
Prov. Sumatera Utara,070000
Kab. Deli Serdang,070100
Kab. Labuhan Batu,070700
Kab. Tapanuli Utara,070800
Kab. Tapanuli Tengah,070900
Kab. Pakpak Bharat,071800
Kab. Humbang Hasudutan,071900
Kab. Karo,070300
Kab. Simalungun,070400
Kab. Nias,071100
Kab. Batubara,072200
Kab. Padang Lawas utara,072300
Kab. Dairi,070500
Kab. Toba Samosir,071600
Kab. Nias Utara,072800
Kota Medan,076000
Kota Binjai,076100
Kab. Mandailing Natal,071500
Kab. Padang Lawas,072400
Kab. Labuhan Batu Utara,072500
Kab. Labuhan Batu Selatan,072600
Kab. Nias Barat,072700
Kab. Langkat,070200
Kab. Tapanuli Selatan,071000
Kab. Samosir,072000
Kab. Serdang Bedagai,072100
Kab. Asahan,070600
Kab. Nias Selatan,071700
Kota Tebing Tinggi,076200
Kota Pematangsiantar,076300
Kota Tanjung Balai,076400
Kota Sibolga,076500
Kota Padang Sidimpuan,076600
Kota Gunungsitoli,076700
Prov. Sumatera Barat,080000
Kab. Pasaman,080200
