wilayah_id;kode_wilayah;nama;id_level_wilayah;mst_kode_wilayah
569dedb6-5090-4912-ae55-57d25706b84d;0;Indonesia                     ;0;
b8e6cca8-d648-4e7d-85f7-23365d11ab92;10000;Prop. D.K.I. Jakarta          ;1;0
40a44f48-f132-42ce-9976-b0c5131cd0df;10100;Kab. Kepulauan Seribu         ;2;10000
1f6da9dc-6df2-40c6-bfd6-8402aa8d111f;10101;Kec. Kepulauan Seribu Selatan ;3;10100
f9e2caf4-5a25-46e5-a1b5-701f68254ab8;10102;Kec. Kepulauan Seribu Utara   ;3;10100
f2067360-876c-48f8-ad67-ec2da3a842e5;16000;Kota Jakarta Pusat            ;2;10000
5d8056d5-a7f4-42ce-8500-0c2740396f29;16001;Kec. Tanah Abang              ;3;16000
f876306d-a491-482a-8ded-54ad6d08fb14;16002;Kec. Menteng                  ;3;16000
2ff2a7ec-fd56-444f-996f-e828b1111cbf;16003;Kec. Senen                    ;3;16000
e410e33f-c2c9-41c4-aa8e-d03fe9df2dc1;16004;Kec. Johar Baru               ;3;16000
3419aa9e-3806-43e2-a141-686b8de3de8b;16005;Kec. Cempaka Putih            ;3;16000
da78854c-574b-4ae6-a445-9c0dc96b4e64;16006;Kec. Kemayoran                ;3;16000
964062d6-c322-43f0-809f-2af05d9671bc;16007;Kec. Sawah Besar              ;3;16000
31d108c3-31bb-4569-9583-3ab988db00bc;16008;Kec. Gambir                   ;3;16000
36f92e0f-6bd8-4572-b676-d61502c416e4;16100;Kota Jakarta Utara            ;2;10000
34da7513-07f0-45de-9238-eaf1fb656758;16101;Kec. Penjaringan              ;3;16100
e24ffa9d-e1d4-4076-8c5e-b955fefbf771;16102;Kec. Pademangan               ;3;16100
ac4f3204-76fb-4c55-9965-7c7487bb40dc;16103;Kec. Tanjung Priok            ;3;16100
2f780833-f707-4f9f-bc5a-d6e2c7b56e8a;16104;Kec. Koja                     ;3;16100
ef1d56f3-62bb-40f2-a5b4-fec37e257ad5;16105;Kec. Kelapa Gading            ;3;16100
273207e4-de2e-4225-aede-9c6714d31ec4;16106;Kec. Cilincing                ;3;16100
3864bf03-ded3-4274-8625-b32b9f647968;16200;Kota Jakarta Barat            ;2;10000
213cf310-5266-472c-9394-59f1de954507;16201;Kec. Kembangan                ;3;16200
ea742244-56d0-4134-bfe0-af5e6fab48fc;16202;Kec. Kebon Jeruk              ;3;16200
52cd0004-0cad-4ac1-bd01-db6efa2bd9cf;16203;Kec. Palmerah                 ;3;16200
53a8f04a-7392-49e1-a3b8-10b7f70f3a6c;16204;Kec. Grogol Petamburan        ;3;16200
025b96a5-b5c4-47c0-8665-c57206da5326;16205;Kec. Tambora                  ;3;16200
