"","Kecamatan","Kab.Kota","Kelas.Baik","Kelas.Rusak","Lab.Rusak.Ringan","Lab.Rusak","Perpus.Baik","Perpus.Rusak","Toilet.Guru.L.Baik","Toilet.Guru.L.Rusak","UKS.Baik","UKS.Rusak","Toilet.Guru.P.Baik","Toilet.Guru.P.Rusak","Toilet.Murid.L.Baik","Toilet.Murid.L.Rusak","Toilet.Murid.P.Baik","Toilet.Murid.P.Rusak"
"1","Kec. Kepulauan Seribu Utara ","Kepulauan Seribu",0,19,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"2","Kec. Tanah Abang ","Jakarta Pusat",152,13,1,1,15,2,32,2,32,2,32,2,32,2,32,2
"3","Kec. Menteng ","Jakarta Pusat",70,0,0,0,7,0,9,1,9,1,9,1,9,1,9,1
"4","Kec. Senen ","Jakarta Pusat",74,17,3,3,6,2,11,3,11,3,11,3,11,3,11,3
"5","Kec. Johar Baru ","Jakarta Pusat",24,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"6","Kec. Cempaka Putih ","Jakarta Pusat",50,24,3,3,5,1,15,3,15,3,15,3,15,3,15,3
"7","Kec. Kemayoran ","Jakarta Pusat",161,0,0,0,11,0,17,1,17,1,17,1,17,1,17,1
"8","Kec. Sawah Besar ","Jakarta Pusat",134,15,3,3,14,1,17,5,17,5,17,5,17,5,17,5
"9","Kec. Gambir ","Jakarta Pusat",90,0,0,0,7,0,12,2,12,2,12,2,12,2,12,2
"10","Kec. Penjaringan ","Jakarta Utara",241,8,3,3,27,1,47,3,47,3,47,3,47,3,47,3
"11","Kec. Pademangan ","Jakarta Utara",59,0,0,0,4,0,3,1,3,1,3,1,3,1,3,1
"12","Kec. Tanjung Priok ","Jakarta Utara",198,14,4,4,17,2,31,7,31,7,31,7,31,7,31,7
"13","Kec. Koja ","Jakarta Utara",102,0,0,0,8,0,15,3,15,3,15,3,15,3,15,3
"14","Kec. Kelapa Gading ","Jakarta Utara",213,11,7,7,20,3,38,4,38,4,38,4,38,4,38,4
"15","Kec. Cilincing ","Jakarta Utara",164,1,0,0,11,0,15,3,15,3,15,3,15,3,15,3
"16","Kec. Kembangan ","Jakarta Barat",211,2,6,6,18,1,26,5,26,5,26,5,26,5,26,5
"17","Kec. Kebon Jeruk ","Jakarta Barat",167,18,3,3,14,1,23,3,23,3,23,3,23,3,23,3
"18","Kec. Palmerah ","Jakarta Barat",62,32,3,3,5,1,8,2,8,2,8,2,8,2,8,2
"19","Kec. Grogol Petamburan ","Jakarta Barat",192,19,3,3,19,1,34,2,34,2,34,2,34,2,34,2
"20","Kec. Tambora ","Jakarta Barat",71,2,0,0,8,0,11,1,11,1,11,1,11,1,11,1
"21","Kec. Taman Sari ","Jakarta Barat",79,0,0,0,8,0,22,2,22,2,22,2,22,2,22,2
"22","Kec. Cengkareng ","Jakarta Barat",263,1,0,0,23,0,34,4,34,4,34,4,34,4,34,4
"23","Kec. Kali Deres ","Jakarta Barat",247,27,7,7,23,2,41,5,41,5,41,5,41,5,41,5
"24","Kec. Jagakarsa ","Jakarta Selatan",141,25,4,4,10,2,20,2,20,2,20,2,20,2,20,2
"25","Kec. Pasar Minggu ","Jakarta Selatan",134,19,3,3,10,1,16,2,16,2,16,2,16,2,16,2
"26","Kec. Cilandak ","Jakarta Selatan",221,32,3,3,14,1,22,4,22,4,22,4,22,4,22,4
"27","Kec. Pesanggrahan ","Jakarta Selatan",139,0,4,4,7,0,14,0,14,0,14,0,14,0,14,0
"28","Kec. Kebayoran Lama ","Jakarta Selatan",255,0,0,0,15,0,29,3,29,3,29,3,29,3,29,3
"29","Kec. Kebayoran Baru ","Jakarta Selatan",295,0,0,0,20,0,32,5,32,5,32,5,32,5,32,5
"30","Kec. Mampang Prapatan ","Jakarta Selatan",65,0,0,0,7,0,9,1,9,1,9,1,9,1,9,1
"31","Kec. Pancoran ","Jakarta Selatan",69,0,0,0,4,0,7,1,7,1,7,1,7,1,7,1
"32","Kec. Tebet ","Jakarta Selatan",178,0,0,0,11,0,21,1,21,1,21,1,21,1,21,1
"33","Kec. Setia Budi ","Jakarta Selatan",46,30,0,0,4,0,5,3,5,3,5,3,5,3,5,3
"34","Kec. Pasar Rebo ","Jakarta Timur",191,19,4,4,10,1,24,4,24,4,24,4,24,4,24,4
"35","Kec. Ciracas ","Jakarta Timur",229,0,0,0,16,0,20,2,20,2,20,2,20,2,20,2
"36","Kec. Cipayung ","Jakarta Timur",151,6,1,1,11,1,15,1,15,1,15,1,15,1,15,1
"37","Kec. Makasar ","Jakarta Timur",133,59,6,6,8,2,15,5,15,5,15,5,15,5,15,5
"38","Kec. Kramat Jati ","Jakarta Timur",168,6,2,2,10,1,18,4,18,4,18,4,18,4,18,4
"39","Kec. Jatinegara ","Jakarta Timur",145,0,0,0,10,0,17,3,17,3,17,3,17,3,17,3
"40","Kec. Duren Sawit ","Jakarta Timur",292,12,8,8,19,3,30,8,30,8,30,8,30,8,30,8
"41","Kec. Cakung ","Jakarta Timur",192,1,1,1,17,0,25,3,25,3,25,3,25,3,25,3
"42","Kec. Pulo Gadung ","Jakarta Timur",151,18,0,0,15,0,30,2,30,2,30,2,30,2,30,2
"43","Kec. Matraman ","Jakarta Timur",124,0,0,0,7,0,12,2,12,2,12,2,12,2,12,2
"44","Kec. Jatinangor ","Sumedang",90,3,1,1,6,1,7,0,7,0,7,0,7,0,7,0
"45","Kec. Cimanggung ","Sumedang",60,3,0,0,3,0,1,3,1,3,1,3,1,3,1,3
"46","Kec. Tanjungsari ","Sumedang",81,0,0,0,6,0,6,0,6,0,6,0,6,0,6,0
"47","Kec. Rancakalong ","Sumedang",13,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"48","Kec. Sumedang Selatan ","Sumedang",43,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"49","Kec. Sumedang Utara ","Sumedang",64,4,0,0,2,0,2,2,2,2,2,2,2,2,2,2
"50","Kec. Situraja ","Sumedang",28,13,0,0,3,0,6,0,6,0,6,0,6,0,6,0
"51","Kec. Darmaraja ","Sumedang",28,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0
"52","Kec. Tomo ","Sumedang",21,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"53","Kec. Conggeang ","Sumedang",18,2,3,3,1,0,2,0,2,0,2,0,2,0,2,0
"54","Kec. Cimalaka ","Sumedang",36,37,3,3,1,1,1,3,1,3,1,3,1,3,1,3
"55","Kec. Tanjungkerta ","Sumedang",20,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"56","Kec. Pamulihan ","Sumedang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Kec. Jatinunggal ","Sumedang",27,0,3,3,1,1,2,0,2,0,2,0,2,0,2,0
"58","Kec. Bantarujeg ","Majalengka",39,2,0,0,1,0,6,0,6,0,6,0,6,0,6,0
"59","Kec. Cikijing ","Majalengka",16,6,1,1,1,1,1,3,1,3,1,3,1,3,1,3
"60","Kec. Talaga ","Majalengka",36,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"61","Kec. Maja ","Majalengka",20,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"62","Kec. Majalengka ","Majalengka",75,21,3,3,2,1,3,3,3,3,3,3,3,3,3,3
"63","Kec. Sukahaji ","Majalengka",24,0,1,1,2,0,2,0,2,0,2,0,2,0,2,0
"64","Kec. Rajagaluh ","Majalengka",33,9,1,1,3,1,5,1,5,1,5,1,5,1,5,1
"65","Kec. Sindangwangi ","Majalengka",23,6,2,2,1,0,2,0,2,0,2,0,2,0,2,0
"66","Kec. Leuwimunding ","Majalengka",13,11,2,2,0,1,2,0,2,0,2,0,2,0,2,0
"67","Kec. Palasah ","Majalengka",7,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"68","Kec. Jatiwangi ","Majalengka",50,0,0,0,3,0,6,0,6,0,6,0,6,0,6,0
"69","Kec. Dawuan ","Majalengka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Kec. Kadipaten ","Majalengka",24,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"71","Kec. Jatitujuh ","Majalengka",24,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"72","Kec. Ligung ","Majalengka",25,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"73","Kec. Sumberjaya ","Majalengka",20,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"74","Kec. Sindang ","Majalengka",10,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"75","Kec. Kasokandel ","Majalengka",71,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"76","Kec. Waled ","Cirebon",31,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"77","Kec. Ciledug ","Cirebon",31,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"78","Kec. Losari ","Cirebon",36,0,0,0,2,0,7,1,7,1,7,1,7,1,7,1
"79","Kec. Babakan ","Cirebon",26,11,3,3,1,1,3,1,3,1,3,1,3,1,3,1
"80","Kec. Karang Sembung ","Cirebon",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"81","Kec. Lemah Abang ","Cirebon",59,4,0,0,3,0,12,0,12,0,12,0,12,0,12,0
"82","Kec. Astana Japura ","Cirebon",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"83","Kec. Beber ","Cirebon",31,26,3,3,2,1,6,2,6,2,6,2,6,2,6,2
"84","Kec. Sumber ","Cirebon",34,9,1,1,1,1,4,0,4,0,4,0,4,0,4,0
"85","Kec. Palimanan ","Cirebon",11,33,4,4,1,1,3,3,3,3,3,3,3,3,3,3
"86","Kec. Plumbon ","Cirebon",33,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"87","Kec. Weru ","Cirebon",3,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"88","Kec. Kapetakan ","Cirebon",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"89","Kec. Klangenan ","Cirebon",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"90","Kec. Arjawinangun ","Cirebon",34,2,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"91","Kec. Ciwaringin ","Cirebon",18,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"92","Kec. Susukan ","Cirebon",28,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"93","Kec. Gegesik ","Cirebon",45,6,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"94","Kec. Pabedilan ","Cirebon",29,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"95","Kec. Dukupuntang ","Cirebon",27,25,3,3,1,1,1,2,1,2,1,2,1,2,1,2
"96","Kec. Panguragan ","Cirebon",18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"97","Kec. Kaliwedi ","Cirebon",9,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"98","Kec. Pangenan ","Cirebon",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","Kec. Kedawung ","Cirebon",28,0,0,0,4,0,5,1,5,1,5,1,5,1,5,1
"100","Kec. Karangwareng ","Cirebon",68,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"101","Kec. Gunung Jati ","Cirebon",0,6,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"102","Kec. Tengah Tani ","Cirebon",6,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"103","Kec. Suranenggala ","Cirebon",21,0,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"104","Kec. Jamblang ","Cirebon",27,8,1,1,1,0,0,2,0,2,0,2,0,2,0,2
"105","Kec. ","Bogor",98,18,0,0,12,0,13,3,13,3,13,3,13,3,13,3
"106","Kec. ","Bogor",73,7,0,0,8,0,11,1,11,1,11,1,11,1,11,1
"107","Kec. ","Bogor",161,2,3,3,8,0,13,0,13,0,13,0,13,0,13,0
"108","Kec. ","Bogor",132,22,3,3,14,0,16,2,16,2,16,2,16,2,16,2
"109","Kec. ","Bogor",151,24,3,3,10,1,13,3,13,3,13,3,13,3,13,3
"110","Kec. Tanah Sareal ","Bogor",111,21,2,2,6,3,7,7,7,7,7,7,7,7,7,7
"111","Kec. Baros ","Sukabumi",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"112","Kec. Citamiang ","Sukabumi",43,18,1,1,2,0,2,2,2,2,2,2,2,2,2,2
"113","Kec. Warudoyong ","Sukabumi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Kec. Gunung Puyuh ","Sukabumi",64,0,1,1,5,0,7,1,7,1,7,1,7,1,7,1
"115","Kec. Cikole ","Sukabumi",133,0,0,0,9,0,15,3,15,3,15,3,15,3,15,3
"116","Kec. Cibeureum ","Sukabumi",38,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"117","Kec. Harjamukti ","Cirebon",58,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"118","Kec. Lemahwungkuk ","Cirebon",62,0,0,0,4,0,9,1,9,1,9,1,9,1,9,1
"119","Kec. Kesambi ","Cirebon",182,42,6,6,12,3,17,7,17,7,17,7,17,7,17,7
"120","Kec. Kejaksan ","Cirebon",97,0,0,0,6,0,9,3,9,3,9,3,9,3,9,3
"121","Kec. Pondokgede ","Bekasi",92,5,0,0,6,0,11,5,11,5,11,5,11,5,11,5
"122","Kec. Jatiasih ","Bekasi",169,0,0,0,12,1,15,6,15,6,15,6,15,6,15,6
"123","Kec. Bantargebang ","Bekasi",12,29,3,3,2,1,2,0,2,0,2,0,2,0,2,0
